n,rand_std,rand_hyb,rev_std,rev_hyb,alm_std,alm_hyb
31400,6,5,3,3,2,2
31500,6,6,3,3,2,2
31600,6,5,3,3,2,3
31700,6,5,3,3,2,2
31800,6,5,3,3,2,2
31900,6,5,3,3,2,3
32000,6,5,3,3,2,2
32100,6,5,3,3,2,2
32200,6,6,3,3,2,2
32300,6,6,3,3,2,2
32400,6,5,3,3,2,2
32500,6,5,3,3,2,2
32600,6,5,3,3,2,2
32700,6,6,3,3,2,2
32800,7,5,3,3,2,2
32900,6,5,3,3,2,2
33000,6,5,3,3,2,2
33100,6,5,3,3,2,2
33200,6,5,3,3,2,2
33300,6,5,3,3,2,2
33400,6,5,3,3,2,2
33500,6,6,3,3,2,2
33600,6,5,4,3,2,3
33700,7,5,3,3,2,2
33800,6,5,3,3,2,2
33900,6,7,3,3,2,2
34000,6,6,3,3,2,2
34100,6,6,3,3,2,2
34200,6,6,3,3,2,2
34300,6,6,3,3,2,2
34400,6,6,3,3,2,2
34500,7,6,3,3,2,2
34600,7,6,3,3,2,2
34700,7,6,4,4,2,2
34800,7,6,3,3,2,2
34900,7,7,3,3,2,2
35000,7,7,3,3,2,2
35100,6,6,3,3,2,2
35200,6,6,3,3,2,2
35300,6,6,3,3,2,2
35400,6,6,3,3,2,2
35500,6,6,3,3,2,2
35600,6,6,3,3,2,2
35700,6,6,3,3,2,2
35800,7,6,3,3,2,2
35900,7,6,3,3,2,2
36000,7,6,3,4,3,3
36100,7,7,3,3,2,2
36200,7,6,4,3,2,2
36300,7,6,3,3,2,2
36400,7,6,3,3,2,2
36500,7,6,3,3,2,2
36600,7,6,3,3,2,2
36700,7,7,3,3,2,2
36800,7,6,3,3,2,2
36900,7,6,3,3,2,2
37000,7,6,3,3,2,2
37100,7,6,3,3,2,2
37200,7,6,3,3,2,2
37300,7,6,3,3,2,2
37400,8,6,3,3,2,2
37500,7,7,3,3,2,2
37600,7,6,3,3,3,2
37700,7,6,4,4,3,2
37800,7,6,3,3,2,2
37900,7,6,3,3,3,2
38000,7,6,3,3,2,2
38100,7,6,3,3,2,2
38200,7,6,3,3,2,2
38300,8,7,3,3,2,2
38400,7,6,3,3,2,2
38500,7,6,3,3,2,2
38600,7,6,3,3,2,2
38700,7,6,3,3,2,2
38800,7,6,4,3,2,2
38900,7,6,3,3,2,2
39000,8,7,4,4,2,3
39100,8,6,4,3,2,2
39200,7,6,4,3,3,3
39300,8,7,3,3,2,2
39400,8,7,3,3,3,2
39500,7,6,3,3,2,2
39600,7,7,4,3,2,2
39700,7,7,3,3,3,3
39800,8,7,3,3,2,2
39900,7,7,3,3,2,2
40000,7,7,4,3,2,2
40100,8,7,4,3,2,2
40200,7,8,4,3,2,2
40300,7,7,4,3,2,2
40400,7,7,4,3,3,3
40500,8,8,4,4,3,2
40600,7,7,4,3,3,2
40700,8,7,4,4,2,2
40800,8,7,4,3,2,2
40900,8,7,4,3,2,2
41000,8,7,4,3,2,2
41100,8,7,4,4,2,2
41200,8,7,4,4,2,2
41300,8,7,4,4,2,2
41400,8,7,4,4,2,2
41500,8,7,4,4,3,2
41600,8,7,4,4,2,2
41700,8,7,4,4,2,2
41800,8,7,4,4,2,2
